site,location,department,activity,equipment,reporter_role,report_type,narrative
Duliajan Production Installation,Separator Station #4,Mechanical Maintenance,Separator Vessel Inspection,Gas Separator V-102,Lead Operator,near_miss,"During maintenance, a contractor entered the tank to inspect an internal valve. Gas testing was not recorded, the entry permit had expired, and no attendant was positioned outside."
Moran Gathering Station,Manifold Skid B,Pipeline Operations,Flange Unbolting,Main Gathering Line 12-inch,Maintenance Fitter,near_miss,"Mechanical technician attempted to unbolt a pressurized gas line flange before closing isolation block valves. Stored energy was present without LOTO verification."
Drilling Rig OIL-45,Drill Floor / Catwalk,Drilling Services,Tubular Handling,Hydraulic Rig Crane #2,Assistant Driller,near_miss,"During rig operations, a roustabout was walking underneath the suspended load while the crane was slewing a 3-ton casing joint across the drill floor."
Digboi Central Store,Warehouse Bay 3,Materials Management,Housekeeping,Wooden Storage Pallets,Warehouse Helper,near_miss,"Warehouse helper noticed five empty wooden shipping pallets stacked unevenly behind store room and restacked them neatly against the exterior wall."
Naharkatiya Wellhead Cluster,Well NHK-204,Workover Operations,Xmas Tree Servicing,Wellhead Xmas Tree,Rig Supervisor,unsafe_condition,"Discovered casing valve needle valve sheared off with 1200 psi shut-in casing pressure. Wireline grease injector unit was operating nearby without barrier."
Duliajan Gas Processing Plant,Compressor Hall 1,Compression Engineering,Compressor Overhaul,Centrifugal Compressor K-301,Instrumentation Eng,unsafe_act,"Technician bypassed the high vibration emergency shutdown switch using an unapproved copper jumper wire to keep machine running during shift change."
Jorajan Oil Field,Flowline Corridor #8,Civil Maintenance,Pipeline Trenching,CAT Excavator 320D,Safety Inspector,unsafe_condition,"Excavation contractor dug a 2.5 meter deep trench in water-saturated clay soil without trench shoring box or ladder egress while workers were inside laying pipe."
Tinsukia Crude Pump Station,Pump House East,Electrical Engineering,Motor Control Center (MCC),415V Switchgear Panel,Senior Electrician,near_miss,"Electrician opened 415V MCC panel door with live busbars exposed while wearing cotton gloves. No arc flash PPE or calibrated multimeter voltage check performed."
Drilling Rig OIL-78,Derrick Mast,Drilling Services,Derrick Inspection,Rig Derrick Mast,Derrickman,unsafe_act,"Derrickman climbed from monkey board to crown block at 35m height without connecting twin lanyard fall arrest hooks to safety ladder cable sleeve."
Shalmari Drilling Camp,Access Road Mile 4,Logistics & Transport,Pipe Haulage,Heavy Trailer Truck,Transport Officer,unsafe_act,"Trailer truck loaded with drill pipes was driven at 70 km/h on unpaved slippery gravel road during heavy downpour without load strap tension re-check."
Bhogpara OCS #2,Crude Storage Tank T-14,Tank Farm Ops,Sludge Sampling,Crude Oil Storage Tank,Field Operator,near_miss,"Operator climbed tank roof without portable H2S personal monitor or buddy system to take manual dip tape measurement while thief hatch was venting gas."
Duliajan Main Workshop,Welding Bay #2,Mechanical Fabrication,Spool Fabrication,Welding Rectifier Unit,Welding Foreman,unsafe_condition,"Welder was grinding steel pipe spool within 4 meters of solvent cleaning bench where open buckets of flammable degreaser solvent were stored without cover."
Kusijan Well Site #12,Wellhead Pad,Production Engineering,Beam Pump Greasing,Sucker Rod Beam Pump,Pumper,near_miss,"Greaser attempted to apply grease cartridge to walking beam bearing while pump jack counterweights were in active reciprocal motion. Sleeve caught momentarily."
Makum Gas Field,Dehydration Unit #1,Process Operations,Glycol Regeneration,Reboiler Glycol Heater,Shift Chemist,unsafe_condition,"Fuel gas supply pressure regulator to glycol reboiler malfunctioned, causing pilot flame failure with unburned hydrocarbon gas accumulating in firetube."
Kumchai Oil Field,Well Kum-11,Wireline Operations,BOP Pressure Test,Wireline Lubricator BOP,Wireline Specialist,near_miss,"During 5000 psi hydraulic pressure test of wireline lubricator, quick-union connection backed off under pressure due to missing locking collar pin."
Duliajan Power House,DG Set Station #3,Power Plant Services,Generator Maintenance,1.5MW Diesel Generator,Electrical Officer,unsafe_act,"Contractor cleaned oil leaks around live 11kV step-up transformer using conductive metal scraper while adjacent radiator fan was rotating at high speed."
Drilling Rig OIL-19,Mud Pit Area,Drilling Fluids,Mud Chemical Mixing,Mud Mixing Hopper,Mud Engineer,unsafe_condition,"Caustic soda bags were dumped into mud hopper without full face shield or chemical rubber apron. Wind gust blew dry caustic powder toward worker face."
Heera OCS,Flare Knockout Drum,Offshore Operations,Flare Line Inspection,Flare Knockout Drum V-200,Lead Safety Officer,near_miss,"Maintenance crew opened manway bolts on flare drum without verifying upstream bypass valves were double-blocked and bled to atmospheric flare."
Bordubi Gas Station,Pig Launcher Pad,Pipeline Maintenance,Pipeline Pigging,Gas Pipeline Pig Trap,Pipeline Engineer,near_miss,"Operator started opening pig trap closure door hinge while bleed vent valve still showed 15 psi residual gas pressure inside barrel. Door swung violently."
Moran Field Office,Office Building,Administrative Services,Office Relocation,Filing Cabinets,Clerk,near_miss,"Office clerk attempted to move three heavy steel four-drawer filing cabinets at once with top drawers fully loaded and open, causing cabinet to tip."
Drilling Rig OIL-62,Rig Substructure,Drilling Engineering,BOP Stack Installation,13-5/8 inch BOP Stack,Toolpusher,near_miss,"Workers were rigging up choke lines directly beneath the 18-ton BOP stack while it was suspended by hoist winches without mechanical safety latch locks engaged."
Naharkatiya Plant,LPG Recovery Unit,Process Engineering,LPG Sphere Sampling,LPG Storage Sphere S-1,Process Technician,near_miss,"Technician drained LPG sampling cylinder into open concrete drain trough instead of closed flare recovery header, creating localized cold white vapor cloud."
Duliajan Medical Center,Ambulance Bay,Medical Services,Ambulance Readiness,Toyota Emergency Ambulance,Ambulance Driver,near_miss,"Ambulance driver found brake pedal had low pressure during morning check. Master cylinder brake fluid was below minimum level; vehicle grounded for repair."
Borbil Well Cluster,Wellhead Manifold,Production Services,Pressure Survey,Electronic Pressure Gauge,Field Assistant,unsafe_condition,"Pressure survey technician connected needle valve without safety whip check cable on high pressure 5000 psi flexible testing hose line."
Drilling Rig OIL-31,Drill Floor,Drilling Services,Make-up Drill Collars,Hydraulic Roughneck,Roughneck,near_miss,"Drill floor worker placed right hand directly on pipe tool joint while hydraulic roughneck iron roughneck was clamping at 45000 ft-lbs torque."
